date,district,broiler_price_per_kg,maize_price_per_quintal,soybean_price_per_quintal,palm_oil_price,temperature_celsius,rainfall_mm,hpai_district_flag,hpai_adjacent_district_flag,egg_price,necc_zone_avg_price,doc_placement,fuel_price,transport_disruption,ncdex_maize_futures,global_poultry_index,google_trends
2023-01-01,gorakhpur,145.23,2100.5,3550.3,5600.2,18.5,2.3,0,0,5.2,148.1,9500,78.5,0,2120.3,98.5,45.2
2023-01-02,gorakhpur,146.78,2115.2,3560.1,5620.5,19.2,1.8,0,0,5.3,149.2,9600,78.6,0,2135.1,99.2,46.1
2023-01-03,gorakhpur,148.12,2120.8,3570.5,5630.1,20.1,3.5,0,0,5.4,150.1,9700,78.7,0,2140.2,100.1,47.3
2023-01-04,gorakhpur,147.56,2118.3,3565.2,5625.3,19.8,2.1,0,0,5.3,149.5,9650,78.6,0,2138.1,99.8,46.8
2023-01-05,gorakhpur,149.34,2125.1,3575.8,5640.2,21.2,4.2,0,0,5.5,151.2,9800,78.9,0,2145.3,101.2,48.5
2023-01-06,gorakhpur,150.78,2130.5,3580.2,5650.1,22.5,5.8,0,0,5.6,152.5,9900,79.1,0,2150.8,102.5,49.2
2023-01-07,gorakhpur,152.12,2135.2,3590.5,5660.3,23.8,6.2,0,0,5.7,153.8,10000,79.3,0,2155.2,103.8,50.1
2023-01-08,gorakhpur,151.56,2132.8,3585.1,5655.2,23.2,5.5,0,0,5.6,153.1,9950,79.2,0,2152.8,103.1,49.8
2023-01-09,gorakhpur,153.34,2140.5,3595.8,5670.1,24.5,7.1,0,0,5.8,154.8,10100,79.5,0,2160.5,104.8,51.2
2023-01-10,gorakhpur,154.78,2145.2,3600.2,5680.3,25.8,8.3,0,0,5.9,156.1,10200,79.7,0,2165.2,106.1,52.3
2023-01-11,gorakhpur,155.12,2148.1,3605.5,5685.1,26.2,9.1,0,0,6.0,156.8,10250,79.8,0,2168.1,106.8,53.1
2023-01-12,gorakhpur,156.56,2152.3,3610.8,5690.2,26.8,10.5,0,0,6.1,157.5,10300,80.0,0,2172.3,107.5,53.8
2023-01-13,gorakhpur,157.34,2155.8,3615.2,5695.3,27.2,11.8,0,0,6.2,158.2,10350,80.2,0,2175.8,108.2,54.5
2023-01-14,gorakhpur,158.78,2160.1,3620.5,5700.1,27.8,12.3,0,0,6.3,159.1,10400,80.3,0,2180.1,109.1,55.2
